Benchmark,Variant,Method,Cost
CD,_Slowdown,cd.RedBlackTree.treeInsert,11.92%
CD,_Slowdown,cd.RedBlackTree.put,7.08%
CD,_Slowdown,cd.CollisionDetector.isInVoxel,6.85%
CD,_Slowdown,cd.CallSign.compareTo,4.58%
CD,_Slowdown,cd.RedBlackTree.findNode,4.46%
CD,_NoSlowdown,cd.RedBlackTree.treeInsert,6.97%
CD,_NoSlowdown,cd.CollisionDetector.isInVoxel,5.70%
CD,_NoSlowdown,cd.RedBlackTree.put,4.09%
CD,_NoSlowdown,cd.RedBlackTree.findNode,3.55%
CD,_NoSlowdown,Interpreter,3.01%
DeltaBlue,_Slowdown,som.Vector.forEach,12.67%
DeltaBlue,_Slowdown,deltablue.Plan$$Lambda.apply,5.56%
DeltaBlue,_Slowdown,som.Vector.append,3.73%
DeltaBlue,_Slowdown,deltablue.AbstractConstraint.satisfy,2.39%
DeltaBlue,_Slowdown,Interpreter,2.21%
DeltaBlue,_NoSlowdown,deltablue.Plan$$Lambda.apply,7.85%
DeltaBlue,_NoSlowdown,som.Vector.forEach,6.24%
DeltaBlue,_NoSlowdown,Interpreter,3.59%
DeltaBlue,_NoSlowdown,G1ParScanThreadState::trim_queue_to_threshold(unsigned,1.67%
DeltaBlue,_NoSlowdown,deltablue.EqualityConstraint.execute,1.52%
Havlak,_Slowdown,som.Vector.hasSome,20.06%
Havlak,_Slowdown,som.Vector.<init>,7.28%
Havlak,_Slowdown,som.Vector.append,5.92%
Havlak,_Slowdown,havlak.HavlakLoopFinder.findLoops,5.02%
Havlak,_Slowdown,som.Dictionary.atPut,4.79%
Havlak,_NoSlowdown,som.Vector.hasSome,14.79%
Havlak,_NoSlowdown,som.Vector.append,4.58%
Havlak,_NoSlowdown,som.Vector.<init>,3.81%
Havlak,_NoSlowdown,havlak.HavlakLoopFinder.findLoops,3.49%
Havlak,_NoSlowdown,G1ParScanThreadState::trim_queue_to_threshold(unsigned,3.21%
Json,_Slowdown,json.JsonPureStringParser.read,8.81%
Json,_Slowdown,java.lang.String.equals,8.09%
Json,_Slowdown,json.JsonPureStringParser.readStringInternal,7.76%
Json,_Slowdown,java.lang.StringLatin1.newString,5.25%
Json,_Slowdown,json.JsonPureStringParser.isWhiteSpace,4.61%
Json,_NoSlowdown,java.lang.String.equals,8.86%
Json,_NoSlowdown,Interpreter,3.52%
Json,_NoSlowdown,java.lang.StringLatin1.newString,2.44%
Json,_NoSlowdown,jbyte_disjoint_arraycopy,2.38%
Json,_NoSlowdown,json.JsonPureStringParser.read,2.11%
Richards,_Slowdown,richards.Scheduler.schedule,25.63%
Richards,_Slowdown,richards.TaskControlBlock.addInputAndCheckPriority,7.46%
Richards,_Slowdown,richards.Scheduler.lambda$createHandler$1,7.40%
Richards,_Slowdown,richards.TaskControlBlock.runTask,5.94%
Richards,_Slowdown,itable,4.11%
Richards,_NoSlowdown,itable,12.43%
Richards,_NoSlowdown,richards.Scheduler.schedule,4.65%
Richards,_NoSlowdown,Interpreter,3.02%
Richards,_NoSlowdown,richards.TaskState.isTaskHoldingOrWaiting,2.77%
Richards,_NoSlowdown,richards.TaskControlBlock.getIdentity,2.65%
Bounce,_Slowdown,Bounce$Ball.bounce,45.18%
Bounce,_Slowdown,Bounce.benchmark,7.15%
Bounce,_Slowdown,Bounce.lambda$benchmark$0,3.55%
Bounce,_Slowdown,java.util.Arrays.setAll,2.82%
Bounce,_Slowdown,Interpreter,1.65%
Bounce,_NoSlowdown,Bounce$Ball.bounce,29.16%
Bounce,_NoSlowdown,Bounce.benchmark,5.54%
Bounce,_NoSlowdown,Interpreter,3.45%
Bounce,_NoSlowdown,I2C/C2I,1.27%
Bounce,_NoSlowdown,Bounce$Ball.<init>,1.16%
List,_Slowdown,List.isShorterThan,50.50%
List,_Slowdown,List$Element.getNext,17.92%
List,_Slowdown,List.tail,5.40%
List,_Slowdown,Interpreter,1.20%
List,_Slowdown,I2C/C2I,0.44%
List,_NoSlowdown,List$Element.getNext,29.14%
List,_NoSlowdown,List.isShorterThan,13.57%
List,_NoSlowdown,Interpreter,2.79%
List,_NoSlowdown,List.tail,2.47%
List,_NoSlowdown,I2C/C2I,1.03%
Mandelbrot,_Slowdown,Mandelbrot.mandelbrot,34.49%
Mandelbrot,_Slowdown,Interpreter,2.67%
Mandelbrot,_Slowdown,I2C/C2I,1.09%
Mandelbrot,_Slowdown,org.graalvm.collections.EconomicMapImpl.findLinear,0.69%
Mandelbrot,_Slowdown,jdk.graal.compiler.phases.common.CanonicalizerPhase.tryCanonicalize,0.57%
Mandelbrot,_NoSlowdown,Mandelbrot.mandelbrot,33.91%
Mandelbrot,_NoSlowdown,Interpreter,3.40%
Mandelbrot,_NoSlowdown,I2C/C2I,1.25%
Mandelbrot,_NoSlowdown,I2C/C2I,0.56%
Mandelbrot,_NoSlowdown,InstanceKlass::find_method_index(Array<Method*>,0.39%
NBody,_Slowdown,NBody.innerBenchmarkLoop,44.62%
NBody,_Slowdown,nbody.NBodySystem.advance,13.94%
NBody,_Slowdown,nbody.Body.getVX,1.76%
NBody,_Slowdown,Interpreter,1.69%
NBody,_Slowdown,I2C/C2I,0.64%
NBody,_NoSlowdown,nbody.NBodySystem.advance,28.18%
NBody,_NoSlowdown,nbody.Body.getVX,3.59%
NBody,_NoSlowdown,Interpreter,3.57%
NBody,_NoSlowdown,I2C/C2I,1.24%
NBody,_NoSlowdown,nbody.Body.getVZ,1.19%
Permute,_Slowdown,Permute.permute,46.10%
Permute,_Slowdown,Permute.swap,15.46%
Permute,_Slowdown,Interpreter,1.65%
Permute,_Slowdown,I2C/C2I,0.63%
Permute,_Slowdown,jdk.graal.compiler.phases.common.CanonicalizerPhase.tryCanonicalize,0.39%
Permute,_NoSlowdown,Permute.permute,24.65%
Permute,_NoSlowdown,Permute.swap,14.04%
Permute,_NoSlowdown,Interpreter,3.16%
Permute,_NoSlowdown,I2C/C2I,1.28%
Permute,_NoSlowdown,I2C/C2I,0.56%
Queens,_Slowdown,Queens.getRowColumn,27.64%
Queens,_Slowdown,Queens.placeQueen,20.29%
Queens,_Slowdown,Queens.setRowColumn,4.33%
Queens,_Slowdown,Interpreter,2.03%
Queens,_Slowdown,Queens.queens,1.05%
Queens,_NoSlowdown,Queens.getRowColumn,13.87%
