Benchmark,Variant,Method,Cost
CD,_Slowdown,cd.RedBlackTree.treeInsert,17.14%
CD,_Slowdown,cd.CollisionDetector.isInVoxel,9.96%
CD,_Slowdown,cd.RedBlackTree.findNode,7.62%
CD,_Slowdown,cd.Vector2D.compareTo,6.12%
CD,_Slowdown,cd.CallSign.compareTo,5.41%
CD,_NoSlowdown,cd.RedBlackTree.treeInsert,13.03%
CD,_NoSlowdown,cd.CollisionDetector.isInVoxel,10.10%
CD,_NoSlowdown,cd.RedBlackTree.findNode,6.65%
CD,_NoSlowdown,cd.RedBlackTree.put,5.95%
CD,_NoSlowdown,cd.Vector2D.compareNumbers,3.52%
DeltaBlue,_Slowdown,som.Vector.forEach,17.02%
DeltaBlue,_Slowdown,deltablue.Plan$$Lambda.apply,8.21%
DeltaBlue,_Slowdown,som.Vector.append,3.74%
DeltaBlue,_Slowdown,deltablue.Planner.addPropagate,2.74%
DeltaBlue,_Slowdown,deltablue.AbstractConstraint.satisfy,2.39%
DeltaBlue,_NoSlowdown,deltablue.Plan$$Lambda.apply,9.97%
DeltaBlue,_NoSlowdown,som.Vector.forEach,9.17%
DeltaBlue,_NoSlowdown,deltablue.EqualityConstraint.execute,4.01%
DeltaBlue,_NoSlowdown,deltablue.Planner$$Lambda.apply,3.17%
DeltaBlue,_NoSlowdown,Interpreter,2.98%
Havlak,_Slowdown,som.Vector.hasSome,35.50%
Havlak,_Slowdown,som.Vector.<init>,11.41%
Havlak,_Slowdown,havlak.HavlakLoopFinder.findLoops,4.15%
Havlak,_Slowdown,som.Vector.append,3.97%
Havlak,_Slowdown,void,2.66%
Havlak,_NoSlowdown,som.Vector.hasSome,19.70%
Havlak,_NoSlowdown,som.Vector.append,6.50%
Havlak,_NoSlowdown,som.Vector.<init>,5.89%
Havlak,_NoSlowdown,void,5.07%
Havlak,_NoSlowdown,havlak.HavlakLoopFinder.findLoops,4.14%
Json,_Slowdown,java.lang.String.equals,29.87%
Json,_Slowdown,json.JsonPureStringParser.read,6.09%
Json,_Slowdown,java.util.Arrays.copyOfRangeByte,5.92%
Json,_Slowdown,java.lang.StringLatin1.newString,4.43%
Json,_Slowdown,java.lang.System.arraycopy,4.14%
Json,_NoSlowdown,java.lang.String.equals,18.23%
Json,_NoSlowdown,jbyte_disjoint_arraycopy,5.16%
Json,_NoSlowdown,java.lang.StringLatin1.newString,4.52%
Json,_NoSlowdown,json.JsonPureStringParser.read,3.69%
Json,_NoSlowdown,java.util.Arrays.copyOfRangeByte,2.90%
Richards,_Slowdown,itable,11.97%
Richards,_Slowdown,richards.TaskState.isTaskHoldingOrWaiting,9.44%
