Benchmark,Variant,Method,Cost
Richards,_Slowdown,richards.TaskControlBlock.runTask,7.60%
Richards,_Slowdown,richards.Scheduler.schedule,6.78%
Richards,_Slowdown,richards.Scheduler.lambda$createHandler$1,6.22%
Richards,_NoSlowdown,itable,20.52%
Richards,_NoSlowdown,richards.Scheduler.schedule,5.93%
Richards,_NoSlowdown,richards.Scheduler$$Lambda.0x00007ff355008440.apply,5.58%
Richards,_NoSlowdown,richards.Scheduler$$Lambda.0x00007ff355008660.apply,3.85%
Richards,_NoSlowdown,richards.TaskState.isTaskHoldingOrWaiting,3.69%
Bounce,_Slowdown,Bounce$Ball.bounce,44.29%
Bounce,_Slowdown,Bounce.benchmark,33.09%
Bounce,_Slowdown,som.Random.next,1.87%
Bounce,_Slowdown,Interpreter,0.88%
Bounce,_Slowdown,java.lang.Math.abs,0.86%
Bounce,_NoSlowdown,Bounce$Ball.bounce,52.82%
Bounce,_NoSlowdown,Bounce.benchmark,9.76%
Bounce,_NoSlowdown,Bounce$Ball.<init>,2.07%
Bounce,_NoSlowdown,Interpreter,1.64%
Bounce,_NoSlowdown,java.lang.Math.abs,1.53%
List,_Slowdown,List.isShorterThan,41.97%
List,_Slowdown,List$Element.getNext,38.92%
List,_Slowdown,List.tail,5.10%
List,_Slowdown,Interpreter,0.72%
List,_Slowdown,List.makeList,0.30%
List,_NoSlowdown,List$Element.getNext,47.93%
List,_NoSlowdown,List.isShorterThan,22.00%
List,_NoSlowdown,List.tail,4.23%
List,_NoSlowdown,Interpreter,1.30%
List,_NoSlowdown,I2C/C2I,0.54%
Mandelbrot,_Slowdown,Mandelbrot.mandelbrot,59.78%
Mandelbrot,_Slowdown,Interpreter,2.05%
Mandelbrot,_Slowdown,I2C/C2I,0.76%
Mandelbrot,_Slowdown,I2C/C2I,0.36%
Mandelbrot,_Slowdown,org.graalvm.collections.EconomicMapImpl.findLinear,0.26%
Mandelbrot,_NoSlowdown,Mandelbrot.mandelbrot,63.60%
Mandelbrot,_NoSlowdown,Interpreter,1.98%
Mandelbrot,_NoSlowdown,I2C/C2I,0.77%
Mandelbrot,_NoSlowdown,I2C/C2I,0.35%
Mandelbrot,_NoSlowdown,InstanceKlass::find_method_index(Array<Method*>,0.21%
NBody,_Slowdown,NBody.innerBenchmarkLoop,52.54%
NBody,_Slowdown,nbody.NBodySystem.advance,22.99%
NBody,_Slowdown,nbody.Body.getVX,2.85%
NBody,_Slowdown,nbody.Body.getVZ,0.98%
NBody,_Slowdown,nbody.Body.getVY,0.94%
NBody,_NoSlowdown,nbody.NBodySystem.advance,51.32%
NBody,_NoSlowdown,nbody.Body.getVX,6.37%
NBody,_NoSlowdown,nbody.Body.getVY,2.14%
NBody,_NoSlowdown,nbody.Body.getVZ,2.05%
NBody,_NoSlowdown,Interpreter,1.80%
Permute,_Slowdown,Permute.permute,50.52%
Permute,_Slowdown,Permute.swap,27.12%
Permute,_Slowdown,Interpreter,1.16%
Permute,_Slowdown,I2C/C2I,0.41%
Permute,_Slowdown,I2C/C2I,0.21%
Permute,_NoSlowdown,Permute.permute,43.80%
Permute,_NoSlowdown,Permute.swap,24.93%
Permute,_NoSlowdown,Interpreter,1.62%
Permute,_NoSlowdown,I2C/C2I,0.69%
Permute,_NoSlowdown,I2C/C2I,0.27%
Queens,_Slowdown,Queens.getRowColumn,44.45%
Queens,_Slowdown,Queens.placeQueen,25.66%
Queens,_Slowdown,Queens.setRowColumn,3.28%
Queens,_Slowdown,Interpreter,1.20%
Queens,_Slowdown,Queens.queens,0.58%
Queens,_NoSlowdown,Queens.getRowColumn,28.46%
Queens,_NoSlowdown,Queens.placeQueen,17.82%
Queens,_NoSlowdown,Queens.setRowColumn,5.23%
Queens,_NoSlowdown,Interpreter,2.67%
Queens,_NoSlowdown,I2C/C2I,1.09%
Sieve,_Slowdown,Sieve.sieve,78.57%
Sieve,_Slowdown,java.util.Arrays.fill,5.22%
Sieve,_Slowdown,Interpreter,0.80%
Sieve,_Slowdown,Sieve.benchmark,0.74%
Sieve,_Slowdown,I2C/C2I,0.25%
Sieve,_NoSlowdown,Sieve.sieve,61.83%
Sieve,_NoSlowdown,java.util.Arrays.fill,7.64%
Sieve,_NoSlowdown,Sieve.benchmark,1.54%
Sieve,_NoSlowdown,Interpreter,1.49%
Sieve,_NoSlowdown,I2C/C2I,0.60%
Storage,_Slowdown,Storage.buildTreeDepth,42.57%
Storage,_Slowdown,java.util.Arrays.setAll,25.63%
Storage,_Slowdown,jdk.internal.misc.Unsafe.allocateInstance,3.56%
Storage,_Slowdown,som.Random.next,2.03%
Storage,_Slowdown,Interpreter,1.29%
Storage,_NoSlowdown,Storage.buildTreeDepth,35.06%
Storage,_NoSlowdown,java.util.Arrays.setAll,21.38%
Storage,_NoSlowdown,som.Random.next,2.25%
Storage,_NoSlowdown,Interpreter,2.02%
Storage,_NoSlowdown,jdk.internal.misc.Unsafe.allocateInstance,1.69%
Towers,_Slowdown,Towers.popDiskFrom,19.20%
Towers,_Slowdown,Towers.moveDisks,18.91%
Towers,_Slowdown,Towers$TowersDisk.getSize,11.48%
Towers,_Slowdown,Towers.moveTopDisk,9.87%
Towers,_Slowdown,Towers.pushDisk,9.52%
Towers,_NoSlowdown,Towers.moveDisks,53.37%
Towers,_NoSlowdown,Towers.popDiskFrom,6.83%
Towers,_NoSlowdown,Towers.pushDisk,3.59%
Towers,_NoSlowdown,Towers$TowersDisk.setNext,2.47%
Towers,_NoSlowdown,Towers.moveTopDisk,2.35%
