Benchmark,Variant,Method,Cost
CD,_Slowdown,cd.RedBlackTree.treeInsert,10.73%
CD,_Slowdown,cd.CollisionDetector.isInVoxel,7.02%
CD,_Slowdown,cd.RedBlackTree.put,4.86%
CD,_Slowdown,cd.RedBlackTree.findNode,4.53%
CD,_Slowdown,cd.RedBlackTree.leftRotate,2.59%
CD,_NoSlowdown,cd.RedBlackTree.treeInsert,6.90%
CD,_NoSlowdown,cd.CollisionDetector.isInVoxel,5.73%
CD,_NoSlowdown,cd.RedBlackTree.put,3.76%
CD,_NoSlowdown,cd.RedBlackTree.findNode,3.40%
CD,_NoSlowdown,Interpreter,3.31%
DeltaBlue,_Slowdown,som.Vector.forEach,6.57%
DeltaBlue,_Slowdown,deltablue.Plan$$Lambda.apply,6.37%
DeltaBlue,_Slowdown,Interpreter,3.13%
DeltaBlue,_Slowdown,som.Vector.append,2.82%
DeltaBlue,_Slowdown,deltablue.Planner.addPropagate,1.58%
DeltaBlue,_NoSlowdown,deltablue.Plan$$Lambda.apply,8.24%
DeltaBlue,_NoSlowdown,som.Vector.forEach,6.32%
DeltaBlue,_NoSlowdown,Interpreter,3.53%
DeltaBlue,_NoSlowdown,G1ParScanThreadState::trim_queue_to_threshold(unsigned,1.82%
DeltaBlue,_NoSlowdown,deltablue.EqualityConstraint.execute,1.54%
Havlak,_Slowdown,som.Vector.hasSome,24.38%
Havlak,_Slowdown,som.Vector.<init>,8.51%
Havlak,_Slowdown,som.Vector.append,4.65%
Havlak,_Slowdown,havlak.HavlakLoopFinder.findLoops,3.88%
Havlak,_Slowdown,G1ParScanThreadState::trim_queue_to_threshold(unsigned,3.05%
Havlak,_NoSlowdown,som.Vector.hasSome,14.60%
Havlak,_NoSlowdown,som.Vector.append,4.74%
Havlak,_NoSlowdown,som.Vector.<init>,4.27%
Havlak,_NoSlowdown,havlak.HavlakLoopFinder.findLoops,3.32%
Havlak,_NoSlowdown,G1ParScanThreadState::trim_queue_to_threshold(unsigned,3.04%
Json,_Slowdown,java.lang.String.equals,9.72%
Json,_Slowdown,json.JsonPureStringParser.read,7.75%
Json,_Slowdown,json.JsonPureStringParser.readStringInternal,3.16%
Json,_Slowdown,java.lang.StringLatin1.newString,3.14%
Json,_Slowdown,java.util.Arrays.copyOfRangeByte,2.87%
Json,_NoSlowdown,java.lang.String.equals,9.17%
Json,_NoSlowdown,Interpreter,3.90%
Json,_NoSlowdown,jbyte_disjoint_arraycopy,2.55%
Json,_NoSlowdown,java.lang.StringLatin1.newString,2.50%
Json,_NoSlowdown,json.JsonPureStringParser.read,1.96%
Richards,_Slowdown,richards.Scheduler.schedule,10.51%
Richards,_Slowdown,itable,8.48%
Richards,_Slowdown,richards.TaskControlBlock.runTask,8.34%
Richards,_Slowdown,richards.TaskState.isTaskHoldingOrWaiting,2.97%
Richards,_Slowdown,richards.Scheduler.lambda$createHandler$1,2.81%
Richards,_NoSlowdown,itable,10.91%
Richards,_NoSlowdown,richards.Scheduler.schedule,4.51%
Richards,_NoSlowdown,Interpreter,3.49%
Richards,_NoSlowdown,richards.TaskState.isTaskHoldingOrWaiting,2.83%
Richards,_NoSlowdown,richards.Scheduler$$Lambda.apply,2.36%
Bounce,_Slowdown,Bounce$Ball.bounce,38.27%
Bounce,_Slowdown,Bounce.benchmark,11.35%
Bounce,_Slowdown,Interpreter,2.26%
Bounce,_Slowdown,som.Random.next,1.72%
Bounce,_Slowdown,I2C/C2I,0.83%
Bounce,_NoSlowdown,Bounce$Ball.bounce,27.89%
Bounce,_NoSlowdown,Bounce.benchmark,5.77%
Bounce,_NoSlowdown,Interpreter,3.52%
Bounce,_NoSlowdown,I2C/C2I,1.20%
Bounce,_NoSlowdown,Bounce$Ball.<init>,1.17%
List,_Slowdown,List.isShorterThan,30.86%
List,_Slowdown,List$Element.getNext,25.05%
List,_Slowdown,List.tail,4.66%
List,_Slowdown,Interpreter,2.00%
List,_Slowdown,I2C/C2I,0.68%
List,_NoSlowdown,List$Element.getNext,29.44%
List,_NoSlowdown,List.isShorterThan,13.58%
List,_NoSlowdown,Interpreter,2.89%
List,_NoSlowdown,List.tail,2.56%
List,_NoSlowdown,I2C/C2I,1.02%
Mandelbrot,_Slowdown,Mandelbrot.mandelbrot,33.41%
Mandelbrot,_Slowdown,Interpreter,3.39%
Mandelbrot,_Slowdown,I2C/C2I,1.23%
Mandelbrot,_Slowdown,I2C/C2I,0.55%
Mandelbrot,_Slowdown,org.graalvm.collections.EconomicMapImpl.findLinear,0.46%
Mandelbrot,_NoSlowdown,Mandelbrot.mandelbrot,35.11%
Mandelbrot,_NoSlowdown,Interpreter,3.24%
Mandelbrot,_NoSlowdown,I2C/C2I,1.32%
Mandelbrot,_NoSlowdown,I2C/C2I,0.66%
Mandelbrot,_NoSlowdown,jdk.graal.compiler.phases.BasePhase.apply,0.42%
NBody,_Slowdown,NBody.innerBenchmarkLoop,45.18%
NBody,_Slowdown,nbody.NBodySystem.advance,15.32%
NBody,_Slowdown,nbody.Body.getVX,1.86%
NBody,_Slowdown,Interpreter,1.74%
NBody,_Slowdown,I2C/C2I,0.66%
NBody,_NoSlowdown,nbody.NBodySystem.advance,28.96%
NBody,_NoSlowdown,nbody.Body.getVX,3.43%
NBody,_NoSlowdown,Interpreter,3.14%
NBody,_NoSlowdown,I2C/C2I,1.22%
NBody,_NoSlowdown,nbody.Body.getVZ,1.14%
Permute,_Slowdown,Permute.permute,34.62%
Permute,_Slowdown,Permute.swap,15.21%
Permute,_Slowdown,Interpreter,2.38%
Permute,_Slowdown,I2C/C2I,0.89%
Permute,_Slowdown,I2C/C2I,0.42%
Permute,_NoSlowdown,Permute.permute,25.00%
Permute,_NoSlowdown,Permute.swap,13.88%
Permute,_NoSlowdown,Interpreter,3.19%
Permute,_NoSlowdown,I2C/C2I,1.22%
Permute,_NoSlowdown,I2C/C2I,0.57%
Queens,_Slowdown,Queens.getRowColumn,23.51%
Queens,_Slowdown,Queens.placeQueen,6.52%
Queens,_Slowdown,Queens.setRowColumn,5.33%
Queens,_Slowdown,Interpreter,3.24%
Queens,_Slowdown,I2C/C2I,1.21%
Queens,_NoSlowdown,Queens.getRowColumn,14.04%
Queens,_NoSlowdown,Queens.placeQueen,9.36%
Queens,_NoSlowdown,Interpreter,3.79%
Queens,_NoSlowdown,Queens.setRowColumn,2.58%
Queens,_NoSlowdown,I2C/C2I,1.41%
Sieve,_Slowdown,Sieve.sieve,52.40%
Sieve,_Slowdown,java.util.Arrays.fill,4.34%
Sieve,_Slowdown,Interpreter,2.01%
Sieve,_Slowdown,I2C/C2I,0.80%
Sieve,_Slowdown,Sieve.benchmark,0.65%
Sieve,_NoSlowdown,Sieve.sieve,36.46%
Sieve,_NoSlowdown,java.util.Arrays.fill,4.49%
Sieve,_NoSlowdown,Interpreter,2.97%
Sieve,_NoSlowdown,I2C/C2I,1.14%
Sieve,_NoSlowdown,Sieve.benchmark,0.69%
Storage,_Slowdown,Storage.buildTreeDepth,26.11%
Storage,_Slowdown,java.util.Arrays.setAll,16.46%
Storage,_Slowdown,Interpreter,2.50%
Storage,_Slowdown,som.Random.next,1.87%
Storage,_Slowdown,jdk.internal.misc.Unsafe.allocateInstance,1.61%
Storage,_NoSlowdown,Storage.buildTreeDepth,20.51%
Storage,_NoSlowdown,java.util.Arrays.setAll,14.71%
Storage,_NoSlowdown,Interpreter,3.11%
Storage,_NoSlowdown,som.Random.next,1.58%
Storage,_NoSlowdown,I2C/C2I,1.21%
Towers,_Slowdown,Towers$TowersDisk.setNext,21.89%
Towers,_Slowdown,Towers.popDiskFrom,16.89%
Towers,_Slowdown,Towers$TowersDisk.getSize,8.91%
Towers,_Slowdown,Towers.moveDisks,8.33%
Towers,_Slowdown,Towers.pushDisk,7.81%
Towers,_NoSlowdown,Towers$TowersDisk.getSize,9.03%
Towers,_NoSlowdown,Towers.popDiskFrom,8.91%
Towers,_NoSlowdown,Towers.pushDisk,7.54%
Towers,_NoSlowdown,Towers.moveDisks,6.01%
Towers,_NoSlowdown,Towers$TowersDisk.setNext,4.57%
