Benchmark,Variant,Method,Cost
CD,_Slowdown,cd.RedBlackTree.treeInsert,12.63%
CD,_Slowdown,cd.CollisionDetector.isInVoxel,6.18%
CD,_Slowdown,cd.RedBlackTree.put,6.08%
CD,_Slowdown,cd.CallSign.compareTo,5.68%
CD,_Slowdown,cd.Vector2D.compareTo,5.49%
CD,_NoSlowdown,cd.RedBlackTree.treeInsert,6.63%
CD,_NoSlowdown,cd.CollisionDetector.isInVoxel,5.52%
CD,_NoSlowdown,cd.RedBlackTree.put,3.82%
CD,_NoSlowdown,Interpreter,3.52%
CD,_NoSlowdown,cd.RedBlackTree.findNode,3.44%
DeltaBlue,_Slowdown,som.Vector.forEach,14.68%
DeltaBlue,_Slowdown,som.Vector.append,5.79%
DeltaBlue,_Slowdown,deltablue.Plan$$Lambda.apply,4.86%
DeltaBlue,_Slowdown,deltablue.Planner.addPropagate,2.05%
DeltaBlue,_Slowdown,Interpreter,2.03%
DeltaBlue,_NoSlowdown,deltablue.Plan$$Lambda.apply,8.31%
DeltaBlue,_NoSlowdown,som.Vector.forEach,6.39%
DeltaBlue,_NoSlowdown,Interpreter,3.74%
DeltaBlue,_NoSlowdown,G1ParScanThreadState::trim_queue_to_threshold(unsigned,1.57%
DeltaBlue,_NoSlowdown,deltablue.EqualityConstraint.execute,1.56%
Havlak,_Slowdown,som.Vector.hasSome,38.18%
Havlak,_Slowdown,som.Vector.<init>,12.77%
Havlak,_Slowdown,som.Vector.append,5.34%
Havlak,_Slowdown,havlak.HavlakLoopFinder.findLoops,4.51%
Havlak,_Slowdown,havlak.HavlakLoopFinder.doDFS,2.39%
Havlak,_NoSlowdown,som.Vector.hasSome,15.33%
Havlak,_NoSlowdown,som.Vector.append,4.61%
Havlak,_NoSlowdown,som.Vector.<init>,3.89%
Havlak,_NoSlowdown,havlak.HavlakLoopFinder.findLoops,3.43%
Havlak,_NoSlowdown,G1ParScanThreadState::trim_queue_to_threshold(unsigned,3.03%
Json,_Slowdown,java.lang.String.equals,22.49%
Json,_Slowdown,json.JsonPureStringParser.read,9.59%
Json,_Slowdown,java.util.Arrays.copyOfRangeByte,4.45%
Json,_Slowdown,java.lang.StringLatin1.newString,3.54%
Json,_Slowdown,java.lang.System.arraycopy,3.05%
Json,_NoSlowdown,java.lang.String.equals,9.10%
Json,_NoSlowdown,Interpreter,3.69%
Json,_NoSlowdown,jbyte_disjoint_arraycopy,2.47%
Json,_NoSlowdown,java.lang.StringLatin1.newString,2.44%
Json,_NoSlowdown,json.JsonPureStringParser.read,2.25%
Richards,_Slowdown,richards.Scheduler.schedule,15.63%
Richards,_Slowdown,richards.TaskControlBlock.runTask,15.08%
Richards,_Slowdown,richards.Scheduler.lambda$createHandler$1,5.42%
Richards,_Slowdown,richards.TaskState.isTaskHoldingOrWaiting,4.96%
Richards,_Slowdown,richards.Scheduler$$Lambda.apply,3.91%
Richards,_NoSlowdown,itable,11.21%
Richards,_NoSlowdown,richards.Scheduler.schedule,4.69%
Richards,_NoSlowdown,Interpreter,3.31%
Richards,_NoSlowdown,richards.TaskState.isTaskHoldingOrWaiting,3.31%
