Benchmark,Variant,Method,Cost
CD,_Slowdown,cd.RedBlackTree.treeInsert,12.00%
CD,_Slowdown,cd.CollisionDetector.isInVoxel,6.76%
CD,_Slowdown,cd.RedBlackTree.findNode,5.24%
CD,_Slowdown,cd.Vector2D.compareTo,4.02%
CD,_Slowdown,cd.CallSign.compareTo,3.63%
CD,_NoSlowdown,cd.RedBlackTree.treeInsert,7.46%
CD,_NoSlowdown,cd.CollisionDetector.isInVoxel,5.94%
CD,_NoSlowdown,cd.RedBlackTree.findNode,3.75%
CD,_NoSlowdown,Interpreter,3.37%
CD,_NoSlowdown,cd.RedBlackTree.put,3.30%
DeltaBlue,_Slowdown,som.Vector.forEach,9.26%
DeltaBlue,_Slowdown,deltablue.Plan$$Lambda.apply,5.92%
DeltaBlue,_Slowdown,Interpreter,3.37%
DeltaBlue,_Slowdown,som.Vector.append,2.00%
DeltaBlue,_Slowdown,deltablue.Planner.addPropagate,1.79%
DeltaBlue,_NoSlowdown,deltablue.Plan$$Lambda.apply,7.26%
DeltaBlue,_NoSlowdown,som.Vector.forEach,6.00%
DeltaBlue,_NoSlowdown,Interpreter,4.46%
DeltaBlue,_NoSlowdown,deltablue.EqualityConstraint.execute,2.07%
DeltaBlue,_NoSlowdown,deltablue.Planner$$Lambda.apply,1.73%
Havlak,_Slowdown,som.Vector.hasSome,30.73%
Havlak,_Slowdown,som.Vector.<init>,9.29%
Havlak,_Slowdown,som.Vector.append,3.24%
Havlak,_Slowdown,havlak.HavlakLoopFinder.findLoops,3.20%
Havlak,_Slowdown,void,2.24%
Havlak,_NoSlowdown,som.Vector.hasSome,13.83%
Havlak,_NoSlowdown,som.Vector.append,4.43%
Havlak,_NoSlowdown,som.Vector.<init>,3.70%
Havlak,_NoSlowdown,void,3.62%
Havlak,_NoSlowdown,DefNewGeneration::copy_to_survivor_space(oopDesc*),3.21%
Json,_Slowdown,java.lang.String.equals,19.32%
Json,_Slowdown,json.JsonPureStringParser.read,3.82%
Json,_Slowdown,java.util.Arrays.copyOfRangeByte,3.78%
Json,_Slowdown,java.lang.StringLatin1.newString,2.93%
Json,_Slowdown,Interpreter,2.75%
Json,_NoSlowdown,java.lang.String.equals,10.79%
Json,_NoSlowdown,Interpreter,4.00%
Json,_NoSlowdown,jbyte_disjoint_arraycopy,3.05%
Json,_NoSlowdown,java.lang.StringLatin1.newString,2.82%
Json,_NoSlowdown,json.JsonPureStringParser.read,2.42%
Richards,_Slowdown,itable,7.94%
Richards,_Slowdown,richards.TaskState.isTaskHoldingOrWaiting,5.78%
Richards,_Slowdown,richards.TaskControlBlock.runTask,5.00%
Richards,_Slowdown,richards.Scheduler.schedule,4.82%
Richards,_Slowdown,richards.Scheduler.lambda$createHandler$1,4.62%
Richards,_NoSlowdown,itable,12.63%
Richards,_NoSlowdown,richards.Scheduler.schedule,4.17%
Richards,_NoSlowdown,Interpreter,3.45%
Richards,_NoSlowdown,richards.TaskState.isTaskHoldingOrWaiting,3.03%
Richards,_NoSlowdown,richards.Scheduler$$Lambda.apply,2.48%
Bounce,_Slowdown,Bounce$Ball.bounce,33.70%
Bounce,_Slowdown,Bounce.benchmark,24.15%
Bounce,_Slowdown,Interpreter,1.99%
Bounce,_Slowdown,som.Random.next,1.49%
Bounce,_Slowdown,java.lang.Math.abs,0.72%
Bounce,_NoSlowdown,Bounce$Ball.bounce,33.14%
Bounce,_NoSlowdown,Bounce.benchmark,6.00%
Bounce,_NoSlowdown,Interpreter,2.93%
Bounce,_NoSlowdown,I2C/C2I,1.39%
Bounce,_NoSlowdown,java.lang.Math.abs,1.23%
List,_Slowdown,List.isShorterThan,33.81%
List,_Slowdown,List$Element.getNext,31.73%
List,_Slowdown,List.tail,4.20%
List,_Slowdown,Interpreter,1.41%
List,_Slowdown,I2C/C2I,0.58%
List,_NoSlowdown,List$Element.getNext,32.08%
List,_NoSlowdown,List.isShorterThan,15.57%
List,_NoSlowdown,List.tail,2.73%
List,_NoSlowdown,Interpreter,2.64%
List,_NoSlowdown,I2C/C2I,1.04%
Mandelbrot,_Slowdown,Mandelbrot.mandelbrot,33.27%
Mandelbrot,_Slowdown,Interpreter,3.43%
Mandelbrot,_Slowdown,I2C/C2I,1.25%
Mandelbrot,_Slowdown,I2C/C2I,0.60%
Mandelbrot,_Slowdown,jdk.graal.compiler.phases.common.CanonicalizerPhase.processNode,0.38%
Mandelbrot,_NoSlowdown,Mandelbrot.mandelbrot,38.32%
Mandelbrot,_NoSlowdown,Interpreter,3.14%
Mandelbrot,_NoSlowdown,I2C/C2I,1.55%
Mandelbrot,_NoSlowdown,I2C/C2I,0.52%
Mandelbrot,_NoSlowdown,InstanceKlass::find_method_index(Array<Method*>,0.34%
NBody,_Slowdown,NBody.innerBenchmarkLoop,38.97%
NBody,_Slowdown,nbody.NBodySystem.advance,17.03%
NBody,_Slowdown,nbody.Body.getVX,2.06%
NBody,_Slowdown,Interpreter,1.90%
NBody,_Slowdown,nbody.Body.getVZ,0.72%
NBody,_NoSlowdown,nbody.NBodySystem.advance,32.21%
NBody,_NoSlowdown,nbody.Body.getVX,3.89%
NBody,_NoSlowdown,Interpreter,3.11%
NBody,_NoSlowdown,I2C/C2I,1.34%
NBody,_NoSlowdown,nbody.Body.getVZ,1.33%
Permute,_Slowdown,Permute.permute,34.71%
Permute,_Slowdown,Permute.swap,18.85%
Permute,_Slowdown,Interpreter,2.32%
Permute,_Slowdown,I2C/C2I,0.87%
Permute,_Slowdown,I2C/C2I,0.38%
Permute,_NoSlowdown,Permute.permute,27.28%
Permute,_NoSlowdown,Permute.swap,15.44%
Permute,_NoSlowdown,Interpreter,2.96%
Permute,_NoSlowdown,I2C/C2I,1.29%
Permute,_NoSlowdown,I2C/C2I,0.51%
Queens,_Slowdown,Queens.getRowColumn,28.64%
Queens,_Slowdown,Queens.placeQueen,16.68%
Queens,_Slowdown,Interpreter,2.59%
Queens,_Slowdown,Queens.setRowColumn,1.97%
Queens,_Slowdown,I2C/C2I,0.97%
Queens,_NoSlowdown,Queens.getRowColumn,17.78%
Queens,_NoSlowdown,Queens.placeQueen,11.51%
Queens,_NoSlowdown,Interpreter,4.35%
Queens,_NoSlowdown,Queens.setRowColumn,3.27%
Queens,_NoSlowdown,I2C/C2I,1.58%
Sieve,_Slowdown,Sieve.sieve,59.45%
Sieve,_Slowdown,java.util.Arrays.fill,3.97%
Sieve,_Slowdown,Interpreter,1.84%
Sieve,_Slowdown,I2C/C2I,0.69%
Sieve,_Slowdown,Sieve.benchmark,0.53%
Sieve,_NoSlowdown,Sieve.sieve,41.95%
Sieve,_NoSlowdown,java.util.Arrays.fill,4.99%
Sieve,_NoSlowdown,Interpreter,2.76%
Sieve,_NoSlowdown,I2C/C2I,1.13%
Sieve,_NoSlowdown,Sieve.benchmark,0.94%
Storage,_Slowdown,Storage.buildTreeDepth,29.46%
Storage,_Slowdown,java.util.Arrays.setAll,17.14%
Storage,_Slowdown,Interpreter,2.55%
Storage,_Slowdown,jdk.internal.misc.Unsafe.allocateInstance,2.38%
Storage,_Slowdown,som.Random.next,1.35%
Storage,_NoSlowdown,Storage.buildTreeDepth,20.26%
Storage,_NoSlowdown,java.util.Arrays.setAll,13.80%
Storage,_NoSlowdown,Interpreter,3.25%
Storage,_NoSlowdown,som.Random.next,1.35%
Storage,_NoSlowdown,I2C/C2I,1.30%
Towers,_Slowdown,Towers.moveDisks,12.92%
Towers,_Slowdown,Towers.popDiskFrom,12.74%
Towers,_Slowdown,Towers$TowersDisk.getSize,7.71%
Towers,_Slowdown,Towers.moveTopDisk,6.83%
Towers,_Slowdown,Towers.pushDisk,6.44%
Towers,_NoSlowdown,Towers.moveDisks,32.14%
Towers,_NoSlowdown,Towers.popDiskFrom,4.04%
Towers,_NoSlowdown,Interpreter,3.30%
Towers,_NoSlowdown,Towers.pushDisk,2.36%
Towers,_NoSlowdown,Towers$TowersDisk.setNext,1.69%
