Benchmark,Variant,Method,Cost
CD,_Slowdown,cd.RedBlackTree.treeInsert,8.10%
CD,_Slowdown,cd.CollisionDetector.isInVoxel,4.75%
CD,_Slowdown,cd.RedBlackTree.findNode,3.96%
CD,_Slowdown,cd.Vector2D.compareTo,2.95%
CD,_Slowdown,Interpreter,2.75%
CD,_NoSlowdown,cd.RedBlackTree.treeInsert,6.24%
CD,_NoSlowdown,cd.CollisionDetector.isInVoxel,4.90%
CD,_NoSlowdown,Interpreter,4.65%
CD,_NoSlowdown,cd.RedBlackTree.findNode,3.19%
CD,_NoSlowdown,cd.RedBlackTree.put,2.80%
DeltaBlue,_Slowdown,deltablue.Plan$$Lambda.apply,8.74%
DeltaBlue,_Slowdown,som.Vector.forEach,6.54%
DeltaBlue,_Slowdown,Interpreter,3.87%
DeltaBlue,_Slowdown,som.Vector.append,1.45%
DeltaBlue,_Slowdown,I2C/C2I,1.18%
DeltaBlue,_NoSlowdown,deltablue.Plan$$Lambda.apply,6.71%
DeltaBlue,_NoSlowdown,som.Vector.forEach,6.38%
DeltaBlue,_NoSlowdown,Interpreter,5.09%
DeltaBlue,_NoSlowdown,deltablue.EqualityConstraint.execute,1.98%
DeltaBlue,_NoSlowdown,itable,1.48%
Havlak,_Slowdown,som.Vector.hasSome,26.34%
Havlak,_Slowdown,som.Vector.<init>,7.14%
Havlak,_Slowdown,havlak.HavlakLoopFinder.findLoops,2.67%
Havlak,_Slowdown,som.Vector.append,2.48%
Havlak,_Slowdown,Interpreter,2.02%
Havlak,_NoSlowdown,som.Vector.hasSome,9.87%
Havlak,_NoSlowdown,Interpreter,3.68%
Havlak,_NoSlowdown,som.Vector.append,2.83%
Havlak,_NoSlowdown,som.Vector.<init>,2.71%
Havlak,_NoSlowdown,void,2.56%
Json,_Slowdown,java.lang.String.equals,13.43%
Json,_Slowdown,Interpreter,3.48%
Json,_Slowdown,java.util.Arrays.copyOfRangeByte,2.69%
Json,_Slowdown,json.JsonPureStringParser.read,2.64%
Json,_Slowdown,java.lang.StringLatin1.newString,1.96%
Json,_NoSlowdown,java.lang.String.equals,10.40%
Json,_NoSlowdown,Interpreter,5.27%
Json,_NoSlowdown,jbyte_disjoint_arraycopy,2.79%
Json,_NoSlowdown,java.lang.StringLatin1.newString,2.70%
Json,_NoSlowdown,json.JsonPureStringParser.read,2.23%
Richards,_Slowdown,itable,5.21%
Richards,_Slowdown,richards.TaskState.isTaskHoldingOrWaiting,4.56%
Richards,_Slowdown,richards.Scheduler.schedule,3.43%
Richards,_Slowdown,Interpreter,3.19%
Richards,_Slowdown,richards.TaskControlBlock.runTask,3.16%
Richards,_NoSlowdown,itable,11.03%
Richards,_NoSlowdown,Interpreter,4.19%
Richards,_NoSlowdown,richards.Scheduler.schedule,3.33%
Richards,_NoSlowdown,richards.Scheduler$$Lambda.apply,2.73%
Richards,_NoSlowdown,richards.TaskState.isTaskHoldingOrWaiting,2.31%
Bounce,_Slowdown,Bounce$Ball.bounce,24.66%
Bounce,_Slowdown,Bounce.benchmark,18.07%
Bounce,_Slowdown,Interpreter,2.75%
Bounce,_Slowdown,som.Random.next,1.04%
Bounce,_Slowdown,I2C/C2I,0.97%
Bounce,_NoSlowdown,Bounce$Ball.bounce,25.42%
Bounce,_NoSlowdown,Bounce.benchmark,4.82%
Bounce,_NoSlowdown,Interpreter,4.05%
Bounce,_NoSlowdown,I2C/C2I,1.51%
Bounce,_NoSlowdown,java.lang.Math.abs,1.01%
List,_Slowdown,List.isShorterThan,26.45%
List,_Slowdown,List$Element.getNext,24.13%
List,_Slowdown,List.tail,3.23%
List,_Slowdown,Interpreter,2.27%
List,_Slowdown,I2C/C2I,0.90%
List,_NoSlowdown,List$Element.getNext,23.46%
List,_NoSlowdown,List.isShorterThan,10.67%
List,_NoSlowdown,Interpreter,3.40%
List,_NoSlowdown,List.tail,2.09%
List,_NoSlowdown,I2C/C2I,1.41%
Mandelbrot,_Slowdown,Mandelbrot.mandelbrot,33.45%
Mandelbrot,_Slowdown,Interpreter,5.02%
Mandelbrot,_Slowdown,I2C/C2I,1.20%
Mandelbrot,_Slowdown,jdk.graal.compiler.phases.BasePhase.apply,0.54%
Mandelbrot,_Slowdown,jdk.graal.compiler.phases.common.CanonicalizerPhase.processNode,0.39%
Mandelbrot,_NoSlowdown,Mandelbrot.mandelbrot,33.46%
Mandelbrot,_NoSlowdown,Interpreter,3.99%
Mandelbrot,_NoSlowdown,I2C/C2I,1.65%
Mandelbrot,_NoSlowdown,I2C/C2I,0.49%
Mandelbrot,_NoSlowdown,jdk.graal.compiler.phases.BasePhase.apply,0.47%
NBody,_Slowdown,NBody.innerBenchmarkLoop,28.73%
NBody,_Slowdown,nbody.NBodySystem.advance,12.86%
NBody,_Slowdown,Interpreter,2.78%
NBody,_Slowdown,nbody.Body.getVX,1.56%
NBody,_Slowdown,I2C/C2I,1.11%
NBody,_NoSlowdown,nbody.NBodySystem.advance,25.48%
NBody,_NoSlowdown,Interpreter,4.53%
NBody,_NoSlowdown,nbody.Body.getVX,3.27%
NBody,_NoSlowdown,I2C/C2I,1.39%
NBody,_NoSlowdown,nbody.Body.getVZ,1.18%
Permute,_Slowdown,Permute.permute,24.28%
Permute,_Slowdown,Permute.swap,12.54%
Permute,_Slowdown,Interpreter,3.17%
Permute,_Slowdown,I2C/C2I,1.22%
Permute,_Slowdown,I2C/C2I,0.56%
Permute,_NoSlowdown,Permute.permute,21.35%
Permute,_NoSlowdown,Permute.swap,11.87%
Permute,_NoSlowdown,Interpreter,4.40%
Permute,_NoSlowdown,I2C/C2I,1.45%
Permute,_NoSlowdown,I2C/C2I,0.62%
Queens,_Slowdown,Queens.getRowColumn,19.97%
Queens,_Slowdown,Queens.placeQueen,11.74%
Queens,_Slowdown,Interpreter,3.34%
Queens,_Slowdown,Queens.setRowColumn,1.51%
Queens,_Slowdown,I2C/C2I,1.33%
Queens,_NoSlowdown,Queens.getRowColumn,17.21%
Queens,_NoSlowdown,Queens.placeQueen,12.09%
Queens,_NoSlowdown,Interpreter,4.83%
Queens,_NoSlowdown,Queens.setRowColumn,3.26%
Queens,_NoSlowdown,I2C/C2I,1.44%
Sieve,_Slowdown,Sieve.sieve,45.23%
Sieve,_Slowdown,java.util.Arrays.fill,3.24%
Sieve,_Slowdown,Interpreter,2.54%
Sieve,_Slowdown,I2C/C2I,0.88%
Sieve,_Slowdown,I2C/C2I,0.41%
Sieve,_NoSlowdown,Sieve.sieve,29.20%
Sieve,_NoSlowdown,Interpreter,3.76%
Sieve,_NoSlowdown,java.util.Arrays.fill,3.45%
Sieve,_NoSlowdown,I2C/C2I,1.59%
Sieve,_NoSlowdown,Sieve.benchmark,0.64%
Storage,_Slowdown,Storage.buildTreeDepth,18.65%
Storage,_Slowdown,java.util.Arrays.setAll,10.99%
Storage,_Slowdown,Interpreter,3.30%
Storage,_Slowdown,jdk.internal.misc.Unsafe.allocateInstance,1.95%
Storage,_Slowdown,I2C/C2I,1.34%
Storage,_NoSlowdown,Storage.buildTreeDepth,16.93%
Storage,_NoSlowdown,java.util.Arrays.setAll,11.90%
Storage,_NoSlowdown,Interpreter,4.03%
Storage,_NoSlowdown,I2C/C2I,1.54%
Storage,_NoSlowdown,som.Random.next,1.14%
Towers,_Slowdown,Towers.moveDisks,9.35%
Towers,_Slowdown,Towers.popDiskFrom,8.83%
Towers,_Slowdown,Towers$TowersDisk.getSize,5.20%
Towers,_Slowdown,Towers.moveTopDisk,4.59%
Towers,_Slowdown,Towers.pushDisk,4.57%
Towers,_NoSlowdown,Towers.moveDisks,25.13%
Towers,_NoSlowdown,Interpreter,3.87%
Towers,_NoSlowdown,Towers.popDiskFrom,3.28%
Towers,_NoSlowdown,Towers.pushDisk,1.80%
Towers,_NoSlowdown,I2C/C2I,1.58%
