Benchmark,Variant,Method,Cost
Richards,_NoSlowdown,richards.TaskState.isTaskHoldingOrWaiting,3.20%
Richards,_NoSlowdown,richards.TaskControlBlock.getIdentity,3.01%
Bounce,_Slowdown,Bounce$Ball.bounce,33.75%
Bounce,_Slowdown,Bounce.benchmark,13.93%
Bounce,_Slowdown,Interpreter,2.42%
Bounce,_Slowdown,som.Random.next,1.17%
Bounce,_Slowdown,I2C/C2I,0.84%
Bounce,_NoSlowdown,Bounce$Ball.bounce,27.44%
Bounce,_NoSlowdown,Bounce.benchmark,5.62%
Bounce,_NoSlowdown,Interpreter,3.13%
Bounce,_NoSlowdown,I2C/C2I,1.28%
Bounce,_NoSlowdown,Bounce$Ball.<init>,1.03%
List,_Slowdown,List$Element.getNext,32.52%
List,_Slowdown,List.isShorterThan,23.26%
List,_Slowdown,List.tail,4.58%
List,_Slowdown,Interpreter,1.89%
List,_Slowdown,I2C/C2I,0.74%
List,_NoSlowdown,List$Element.getNext,30.41%
List,_NoSlowdown,List.isShorterThan,13.37%
List,_NoSlowdown,Interpreter,2.95%
List,_NoSlowdown,List.tail,2.41%
List,_NoSlowdown,I2C/C2I,1.00%
Mandelbrot,_Slowdown,Mandelbrot.mandelbrot,32.81%
Mandelbrot,_Slowdown,Interpreter,3.50%
Mandelbrot,_Slowdown,I2C/C2I,1.14%
Mandelbrot,_Slowdown,I2C/C2I,0.52%
Mandelbrot,_Slowdown,jdk.graal.compiler.phases.BasePhase.apply,0.46%
Mandelbrot,_NoSlowdown,Mandelbrot.mandelbrot,34.36%
Mandelbrot,_NoSlowdown,Interpreter,3.59%
Mandelbrot,_NoSlowdown,I2C/C2I,1.31%
Mandelbrot,_NoSlowdown,I2C/C2I,0.53%
Mandelbrot,_NoSlowdown,jdk.graal.compiler.phases.BasePhase.apply,0.40%
NBody,_Slowdown,nbody.NBodySystem.advance,26.48%
NBody,_Slowdown,NBody.innerBenchmarkLoop,7.64%
NBody,_Slowdown,nbody.Body.getVX,3.63%
NBody,_Slowdown,Interpreter,2.84%
NBody,_Slowdown,nbody.Body.getZ,1.68%
NBody,_NoSlowdown,nbody.NBodySystem.advance,31.37%
NBody,_NoSlowdown,nbody.Body.getVX,3.86%
NBody,_NoSlowdown,Interpreter,3.13%
NBody,_NoSlowdown,nbody.Body.getVY,1.34%
NBody,_NoSlowdown,I2C/C2I,1.30%
Permute,_Slowdown,Permute.permute,26.77%
Permute,_Slowdown,Permute.swap,13.40%
Permute,_Slowdown,Interpreter,3.35%
Permute,_Slowdown,I2C/C2I,1.19%
Permute,_Slowdown,I2C/C2I,0.60%
Permute,_NoSlowdown,Permute.permute,24.88%
Permute,_NoSlowdown,Permute.swap,14.21%
Permute,_NoSlowdown,Interpreter,3.19%
Permute,_NoSlowdown,I2C/C2I,1.36%
Permute,_NoSlowdown,I2C/C2I,0.57%
Queens,_Slowdown,Queens.getRowColumn,22.84%
Queens,_Slowdown,Queens.placeQueen,12.58%
Queens,_Slowdown,Interpreter,3.30%
Queens,_Slowdown,Queens.setRowColumn,2.19%
Queens,_Slowdown,I2C/C2I,1.00%
Queens,_NoSlowdown,Queens.getRowColumn,14.02%
Queens,_NoSlowdown,Queens.placeQueen,9.50%
Queens,_NoSlowdown,Interpreter,3.71%
Queens,_NoSlowdown,Queens.setRowColumn,2.52%
Queens,_NoSlowdown,I2C/C2I,1.35%
Sieve,_Slowdown,Sieve.sieve,52.24%
Sieve,_Slowdown,java.util.Arrays.fill,3.87%
Sieve,_Slowdown,Interpreter,2.12%
Sieve,_Slowdown,I2C/C2I,0.85%
Sieve,_Slowdown,Sieve.benchmark,0.58%
Sieve,_NoSlowdown,Sieve.sieve,39.46%
Sieve,_NoSlowdown,java.util.Arrays.fill,4.50%
Sieve,_NoSlowdown,Interpreter,2.76%
Sieve,_NoSlowdown,I2C/C2I,1.11%
Sieve,_NoSlowdown,Sieve.benchmark,0.80%
Storage,_Slowdown,Storage.buildTreeDepth,24.29%
Storage,_Slowdown,java.util.Arrays.setAll,16.67%
Storage,_Slowdown,Interpreter,2.91%
Storage,_Slowdown,som.Random.next,2.20%
Storage,_Slowdown,jdk.internal.misc.Unsafe.allocateInstance,1.31%
Storage,_NoSlowdown,Storage.buildTreeDepth,20.34%
Storage,_NoSlowdown,java.util.Arrays.setAll,14.02%
Storage,_NoSlowdown,Interpreter,2.91%
Storage,_NoSlowdown,som.Random.next,1.70%
Storage,_NoSlowdown,I2C/C2I,1.27%
Towers,_Slowdown,Towers.popDiskFrom,18.32%
Towers,_Slowdown,Towers$TowersDisk.setNext,16.93%
Towers,_Slowdown,Towers$TowersDisk.getSize,7.54%
Towers,_Slowdown,Towers.moveDisks,7.27%
Towers,_Slowdown,Towers.pushDisk,5.03%
Towers,_NoSlowdown,Towers$TowersDisk.getSize,8.69%
Towers,_NoSlowdown,Towers.popDiskFrom,8.59%
Towers,_NoSlowdown,Towers.pushDisk,8.11%
Towers,_NoSlowdown,Towers.moveDisks,5.70%
Towers,_NoSlowdown,Towers$TowersDisk.setNext,4.38%
