Benchmark,Variant,Method,Cost
CD,_Slowdown,cd.RedBlackTree.treeInsert,11.27%
CD,_Slowdown,cd.CollisionDetector.isInVoxel,5.96%
CD,_Slowdown,cd.RedBlackTree.findNode,4.73%
CD,_Slowdown,cd.RedBlackTree.put,4.39%
CD,_Slowdown,cd.CallSign.compareTo,2.60%
CD,_NoSlowdown,cd.RedBlackTree.treeInsert,7.21%
CD,_NoSlowdown,cd.CollisionDetector.isInVoxel,5.26%
CD,_NoSlowdown,cd.RedBlackTree.put,3.82%
CD,_NoSlowdown,cd.RedBlackTree.findNode,3.50%
CD,_NoSlowdown,Interpreter,3.38%
DeltaBlue,_Slowdown,som.Vector.forEach,6.94%
DeltaBlue,_Slowdown,deltablue.Plan$$Lambda.apply,5.86%
DeltaBlue,_Slowdown,Interpreter,3.44%
DeltaBlue,_Slowdown,som.Vector.append,2.34%
DeltaBlue,_Slowdown,G1ParScanThreadState::trim_queue_to_threshold(unsigned,1.62%
DeltaBlue,_NoSlowdown,deltablue.Plan$$Lambda.apply,7.45%
DeltaBlue,_NoSlowdown,som.Vector.forEach,6.07%
DeltaBlue,_NoSlowdown,Interpreter,3.98%
DeltaBlue,_NoSlowdown,G1ParScanThreadState::trim_queue_to_threshold(unsigned,1.63%
DeltaBlue,_NoSlowdown,deltablue.Planner$$Lambda.apply,1.56%
Havlak,_Slowdown,som.Vector.hasSome,25.31%
Havlak,_Slowdown,som.Vector.<init>,8.08%
Havlak,_Slowdown,som.Vector.append,4.81%
Havlak,_Slowdown,havlak.HavlakLoopFinder.findLoops,3.60%
Havlak,_Slowdown,G1ParScanThreadState::trim_queue_to_threshold(unsigned,2.94%
Havlak,_NoSlowdown,som.Vector.hasSome,14.53%
Havlak,_NoSlowdown,som.Vector.append,4.74%
Havlak,_NoSlowdown,som.Vector.<init>,3.92%
Havlak,_NoSlowdown,havlak.HavlakLoopFinder.findLoops,3.45%
Havlak,_NoSlowdown,G1ParScanThreadState::trim_queue_to_threshold(unsigned,2.95%
Json,_Slowdown,java.lang.String.equals,14.30%
Json,_Slowdown,json.JsonPureStringParser.read,4.07%
Json,_Slowdown,java.util.Arrays.copyOfRangeByte,3.32%
Json,_Slowdown,java.lang.StringLatin1.newString,2.85%
Json,_Slowdown,Interpreter,2.83%
Json,_NoSlowdown,java.lang.String.equals,9.03%
Json,_NoSlowdown,Interpreter,3.71%
Json,_NoSlowdown,jbyte_disjoint_arraycopy,2.61%
Json,_NoSlowdown,java.lang.StringLatin1.newString,2.59%
Json,_NoSlowdown,json.JsonPureStringParser.read,2.00%
Richards,_Slowdown,itable,8.61%
Richards,_Slowdown,richards.Scheduler.schedule,8.53%
Richards,_Slowdown,richards.TaskControlBlock.runTask,7.17%
Richards,_Slowdown,richards.TaskState.isTaskHoldingOrWaiting,3.98%
Richards,_Slowdown,richards.Scheduler.lambda$createHandler$1,3.25%
Richards,_NoSlowdown,itable,11.66%
Richards,_NoSlowdown,richards.Scheduler.schedule,4.93%
Richards,_NoSlowdown,Interpreter,3.33%
