Benchmark,Variant,Method,Cost
Permute,_Slowdown,__ZN41com_002eoracle_002esvm_002ecore_002ecode_002eIsolateEnterStub74TruffleToLibGraalEntryPoints__validateCompilerOption__Ujs0fEGwUTHHbobHrcnio9EJ32org_002egraalvm_002ejniutils_002eJNI_0024JString31org_002egraalvm_002ejniutils_002eJNI_0024JNIEnv31org_002egraalvm_002ejniutils_002eJNI_0024JClasslS0__S0__,0.10%
Permute,_Slowdown,Interpreter,0.01%
Permute,_Slowdown,Permute.benchmark,0.01%
Permute,_NoSlowdown,Permute.permute,63.35%
Permute,_NoSlowdown,Permute.swap,36.40%
Permute,_NoSlowdown,__ZN41com_002eoracle_002esvm_002ecore_002ecode_002eIsolateEnterStub74TruffleToLibGraalEntryPoints__validateCompilerOption__Ujs0fEGwUTHHbobHrcnio9EJ32org_002egraalvm_002ejniutils_002eJNI_0024JString31org_002egraalvm_002ejniutils_002eJNI_0024JNIEnv31org_002egraalvm_002ejniutils_002eJNI_0024JClasslS0__S0__,0.13%
Permute,_NoSlowdown,Permute.benchmark,0.01%
Permute,_NoSlowdown,CSpaceCounters::UsedHelper::take_sample(),0.01%
Queens,_Slowdown,Queens.getRowColumn,61.53%
Queens,_Slowdown,Queens.placeQueen,33.56%
Queens,_Slowdown,Queens.setRowColumn,3.73%
Queens,_Slowdown,Queens.queens,0.65%
Queens,_Slowdown,java.util.Arrays.fill,0.21%
Queens,_NoSlowdown,Queens.getRowColumn,53.47%
Queens,_NoSlowdown,Queens.placeQueen,34.16%
Queens,_NoSlowdown,Queens.setRowColumn,10.50%
Queens,_NoSlowdown,Queens.queens,0.80%
Queens,_NoSlowdown,java.util.Arrays.fill,0.46%
Sieve,_Slowdown,Sieve.sieve,92.80%
Sieve,_Slowdown,java.util.Arrays.fill,6.15%
Sieve,_Slowdown,Sieve.benchmark,0.90%
Sieve,_Slowdown,__ZN41com_002eoracle_002esvm_002ecore_002ecode_002eIsolateEnterStub74TruffleToLibGraalEntryPoints__validateCompilerOption__Ujs0fEGwUTHHbobHrcnio9EJ32org_002egraalvm_002ejniutils_002eJNI_0024JString31org_002egraalvm_002ejniutils_002eJNI_0024JNIEnv31org_002egraalvm_002ejniutils_002eJNI_0024JClasslS0__S0__,0.02%
Sieve,_Slowdown,Benchmark.innerBenchmarkLoop,0.01%
Sieve,_NoSlowdown,Sieve.sieve,87.23%
Sieve,_NoSlowdown,java.util.Arrays.fill,10.32%
Sieve,_NoSlowdown,Sieve.benchmark,2.10%
Sieve,_NoSlowdown,__ZN41com_002eoracle_002esvm_002ecore_002ecode_002eIsolateEnterStub74TruffleToLibGraalEntryPoints__validateCompilerOption__Ujs0fEGwUTHHbobHrcnio9EJ32org_002egraalvm_002ejniutils_002eJNI_0024JString31org_002egraalvm_002ejniutils_002eJNI_0024JNIEnv31org_002egraalvm_002ejniutils_002eJNI_0024JClasslS0__S0__,0.09%
Sieve,_NoSlowdown,WeakProcessor::weak_oops_do(BoolObjectClosure*,0.01%
