Benchmark,Variant,Method,Cost
Storage,_NoSlowdown,java.util.Arrays.setAll,13.87%
Storage,_NoSlowdown,Interpreter,3.06%
Storage,_NoSlowdown,som.Random.next,1.58%
Storage,_NoSlowdown,I2C/C2I,1.40%
Towers,_Slowdown,Towers$TowersDisk.setNext,21.52%
Towers,_Slowdown,Towers.popDiskFrom,19.42%
Towers,_Slowdown,Towers$TowersDisk.getSize,8.93%
Towers,_Slowdown,Towers.pushDisk,7.71%
Towers,_Slowdown,Towers.moveDisks,7.66%
Towers,_NoSlowdown,Towers.popDiskFrom,8.44%
Towers,_NoSlowdown,Towers$TowersDisk.getSize,8.37%
Towers,_NoSlowdown,Towers.pushDisk,8.04%
Towers,_NoSlowdown,Towers.moveDisks,5.03%
Towers,_NoSlowdown,Towers$TowersDisk.setNext,4.28%
