Benchmark,Variant,Method,Cost
CD,_Slowdown,cd.RedBlackTree.treeInsert,10.31%
CD,_Slowdown,cd.CollisionDetector.isInVoxel,7.24%
CD,_Slowdown,cd.RedBlackTree.put,4.76%
CD,_Slowdown,cd.RedBlackTree.findNode,4.40%
CD,_Slowdown,cd.Vector2D.compareTo,2.75%
CD,_NoSlowdown,cd.RedBlackTree.treeInsert,6.88%
CD,_NoSlowdown,cd.CollisionDetector.isInVoxel,5.62%
CD,_NoSlowdown,cd.RedBlackTree.put,3.85%
CD,_NoSlowdown,cd.RedBlackTree.findNode,3.46%
CD,_NoSlowdown,Interpreter,3.28%
DeltaBlue,_Slowdown,som.Vector.forEach,7.02%
DeltaBlue,_Slowdown,deltablue.Plan$$Lambda.apply,5.95%
DeltaBlue,_Slowdown,Interpreter,3.37%
DeltaBlue,_Slowdown,som.Vector.append,2.69%
DeltaBlue,_Slowdown,deltablue.Planner.addPropagate,1.52%
DeltaBlue,_NoSlowdown,deltablue.Plan$$Lambda.apply,8.28%
DeltaBlue,_NoSlowdown,som.Vector.forEach,6.65%
DeltaBlue,_NoSlowdown,Interpreter,3.80%
DeltaBlue,_NoSlowdown,G1ParScanThreadState::trim_queue_to_threshold(unsigned,1.70%
DeltaBlue,_NoSlowdown,deltablue.Planner$$Lambda.apply,1.57%
Havlak,_Slowdown,som.Vector.hasSome,25.08%
Havlak,_Slowdown,som.Vector.<init>,8.56%
Havlak,_Slowdown,som.Vector.append,4.70%
Havlak,_Slowdown,havlak.HavlakLoopFinder.findLoops,3.96%
Havlak,_Slowdown,som.Vector.forEach,2.39%
Havlak,_NoSlowdown,som.Vector.hasSome,14.09%
Havlak,_NoSlowdown,som.Vector.append,4.75%
Havlak,_NoSlowdown,som.Vector.<init>,4.55%
Havlak,_NoSlowdown,havlak.HavlakLoopFinder.findLoops,3.51%
Havlak,_NoSlowdown,G1ParScanThreadState::trim_queue_to_threshold(unsigned,3.34%
Json,_Slowdown,java.lang.String.equals,14.71%
Json,_Slowdown,json.JsonPureStringParser.read,4.91%
Json,_Slowdown,java.lang.StringLatin1.newString,3.55%
Json,_Slowdown,java.util.Arrays.copyOfRangeByte,3.09%
Json,_Slowdown,Interpreter,2.81%
Json,_NoSlowdown,java.lang.String.equals,8.79%
Json,_NoSlowdown,Interpreter,3.67%
Json,_NoSlowdown,java.lang.StringLatin1.newString,2.55%
Json,_NoSlowdown,jbyte_disjoint_arraycopy,2.51%
Json,_NoSlowdown,json.JsonPureStringParser.read,1.90%
Richards,_Slowdown,richards.Scheduler.schedule,8.83%
Richards,_Slowdown,richards.TaskControlBlock.runTask,8.70%
Richards,_Slowdown,itable,8.13%
Richards,_Slowdown,richards.Scheduler.lambda$createHandler$1,3.24%
Richards,_Slowdown,richards.TaskState.isTaskHoldingOrWaiting,2.81%
Richards,_NoSlowdown,itable,11.35%
Richards,_NoSlowdown,richards.Scheduler.schedule,4.77%
Richards,_NoSlowdown,Interpreter,3.32%
Richards,_NoSlowdown,richards.TaskState.isTaskHoldingOrWaiting,3.07%
Richards,_NoSlowdown,richards.TaskControlBlock.getIdentity,2.64%
Bounce,_Slowdown,Bounce$Ball.bounce,34.07%
Bounce,_Slowdown,Bounce.benchmark,13.58%
Bounce,_Slowdown,Interpreter,2.26%
Bounce,_Slowdown,som.Random.next,1.70%
Bounce,_Slowdown,java.lang.Math.abs,0.94%
Bounce,_NoSlowdown,Bounce$Ball.bounce,27.85%
Bounce,_NoSlowdown,Bounce.benchmark,5.33%
Bounce,_NoSlowdown,Interpreter,3.56%
Bounce,_NoSlowdown,I2C/C2I,1.32%
Bounce,_NoSlowdown,Bounce$Ball.<init>,1.15%
List,_Slowdown,List.isShorterThan,28.32%
List,_Slowdown,List$Element.getNext,26.98%
List,_Slowdown,List.tail,3.96%
List,_Slowdown,Interpreter,2.07%
List,_Slowdown,I2C/C2I,0.76%
List,_NoSlowdown,List$Element.getNext,29.34%
List,_NoSlowdown,List.isShorterThan,13.60%
List,_NoSlowdown,Interpreter,2.86%
List,_NoSlowdown,List.tail,2.30%
List,_NoSlowdown,I2C/C2I,1.10%
Mandelbrot,_Slowdown,Mandelbrot.mandelbrot,43.51%
Mandelbrot,_Slowdown,Interpreter,2.61%
Mandelbrot,_Slowdown,I2C/C2I,0.99%
Mandelbrot,_Slowdown,I2C/C2I,0.43%
Mandelbrot,_Slowdown,jdk.graal.compiler.phases.BasePhase.apply,0.39%
Mandelbrot,_NoSlowdown,Mandelbrot.mandelbrot,33.93%
Mandelbrot,_NoSlowdown,Interpreter,3.39%
Mandelbrot,_NoSlowdown,I2C/C2I,1.35%
Mandelbrot,_NoSlowdown,I2C/C2I,0.56%
Mandelbrot,_NoSlowdown,InstanceKlass::find_method_index(Array<Method*>,0.45%
NBody,_Slowdown,NBody.innerBenchmarkLoop,46.25%
NBody,_Slowdown,nbody.NBodySystem.advance,14.25%
NBody,_Slowdown,Interpreter,1.64%
NBody,_Slowdown,nbody.Body.getVX,1.56%
NBody,_Slowdown,I2C/C2I,0.67%
NBody,_NoSlowdown,nbody.NBodySystem.advance,27.49%
NBody,_NoSlowdown,Interpreter,3.34%
NBody,_NoSlowdown,nbody.Body.getVX,3.29%
NBody,_NoSlowdown,I2C/C2I,1.34%
NBody,_NoSlowdown,nbody.Body.getVY,1.15%
Permute,_Slowdown,Permute.permute,25.23%
Permute,_Slowdown,Permute.swap,13.74%
Permute,_Slowdown,Interpreter,3.09%
Permute,_Slowdown,I2C/C2I,0.99%
Permute,_Slowdown,I2C/C2I,0.52%
Permute,_NoSlowdown,Permute.permute,23.80%
Permute,_NoSlowdown,Permute.swap,13.75%
Permute,_NoSlowdown,Interpreter,3.36%
Permute,_NoSlowdown,I2C/C2I,1.32%
Permute,_NoSlowdown,I2C/C2I,0.52%
Queens,_Slowdown,Queens.getRowColumn,20.08%
Queens,_Slowdown,Queens.placeQueen,11.55%
Queens,_Slowdown,Interpreter,3.32%
Queens,_Slowdown,Queens.setRowColumn,2.12%
Queens,_Slowdown,I2C/C2I,1.09%
Queens,_NoSlowdown,Queens.getRowColumn,14.22%
Queens,_NoSlowdown,Queens.placeQueen,9.40%
Queens,_NoSlowdown,Interpreter,3.87%
Queens,_NoSlowdown,Queens.setRowColumn,2.39%
Queens,_NoSlowdown,I2C/C2I,1.29%
Sieve,_Slowdown,Sieve.sieve,51.29%
Sieve,_Slowdown,java.util.Arrays.fill,4.16%
Sieve,_Slowdown,Interpreter,2.20%
Sieve,_Slowdown,I2C/C2I,0.77%
Sieve,_Slowdown,Sieve.benchmark,0.64%
Sieve,_NoSlowdown,Sieve.sieve,36.03%
Sieve,_NoSlowdown,java.util.Arrays.fill,4.54%
Sieve,_NoSlowdown,Interpreter,3.13%
Sieve,_NoSlowdown,I2C/C2I,1.22%
Sieve,_NoSlowdown,Sieve.benchmark,0.79%
Storage,_Slowdown,Storage.buildTreeDepth,24.12%
Storage,_Slowdown,java.util.Arrays.setAll,17.63%
Storage,_Slowdown,Interpreter,2.53%
Storage,_Slowdown,som.Random.next,2.26%
Storage,_Slowdown,jdk.internal.misc.Unsafe.allocateInstance,1.53%
Storage,_NoSlowdown,Storage.buildTreeDepth,20.10%
